Individual	Location	Pasture	Parasitism	pop_para	pop_para_past
I28	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I29	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I30	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I31	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I32	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I33	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I34	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I35	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I36	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I37	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I38	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I39	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I40	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I41	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I42	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I43	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I44	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I45	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I46	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I47	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I48	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I49	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I50	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I51	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I52	Invermay	Ryegrass	non-parasitized	Invermay_non-parasitized	Invermay_non-parasitized_Ryegrass
I53	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I54	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I55	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I56	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I57	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I58	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I59	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I60	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I61	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
I62	Invermay	Ryegrass	parasitized	Invermay_parasitized	Invermay_parasitized_Ryegrass
R1	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
R2	Ruakura	Ryegrass	non-parasitized	Ruakura_non-parasitized	Ruakura_non-parasitized_Ryegrass
R3	Ruakura	Ryegrass	parasitized	Ruakura_parasitized	Ruakura_parasitized_Ryegrass
